,duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes,ride_date
182,6 minutes,22,Howard St at Beale St,47,4th St at Harrison St,3225,Subscriber,1986,Male,26.0,2018-05-08
183,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),100,Bryant St at 15th St,4658,Subscriber,1989,Male,26.0,2017-07-02
184,19 minutes,5,Powell St BART Station (Market St at 5th St),144,Precita Park,4553,Subscriber,1994,Female,26.0,2019-03-13
185,19 minutes,22,Howard St at Beale St,116,Mississippi St at 17th St,2564,Subscriber,1970,Male,27.0,2018-07-11
186,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),284,Yerba Buena Center for the Arts (Howard St at 3rd St),4982,Subscriber,1985,Female,27.0,2017-10-05
187,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),26,1st St at Folsom St,5110,Subscriber,1948,Male,26.0,2017-05-21
188,2 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,5549,Subscriber,1993,Male,27.0,2022-04-29
189,14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),93,4th St at Mission Bay Blvd S,411,Subscriber,1989,Male,27.0,2018-04-22
190,18 minutes,22,Howard St at Beale St,115,Jackson Playground,5407,Subscriber,1986,Male,26.0,2017-07-04
191,15 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),87,Folsom St at 13th St,5282,Customer,1990,Male,27.0,2017-05-07
192,10 minutes,22,Howard St at Beale St,66,3rd St at Townsend St,5438,Customer,1990,Female,27.0,2019-02-21
193,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),62,Victoria Manalo Draves Park,5381,Subscriber,1990,Female,29.0,2019-01-14
194,6 minutes,3,Powell St BART Station (Market St at 4th St),42,San Francisco City Hall (Polk St at Grove St),2550,Subscriber,1979,Male,26.0,2022-04-29
195,5 minutes,16,Steuart St at Market St,27,Beale St at Harrison St,643,Subscriber,1981,Male,27.0,2017-04-17
196,12 minutes,21,Montgomery St BART Station (Market St at 2nd St),76,McCoppin St at Valencia St,4609,Subscriber,1993,Male,27.0,2019-09-14
197,17 minutes,5,Powell St BART Station (Market St at 5th St),142,Guerrero Park,4928,Subscriber,1993,Male,27.0,2017-12-22
198,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),323,Broadway at Kearny,2113,Subscriber,1987,Male,27.0,2019-07-31
199,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),78,Folsom St at 9th St,5550,Subscriber,1994,Male,27.0,2019-09-04
200,9 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),81,Berry St at 4th St,4969,Customer,1975,Male,27.0,2018-08-12
