,YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List
1759,2009,former us representative,8/4/09,Politician,Henry Waxman (D-CA)
1760,2009,actor,8/5/09,Acting,Paul Giamatti
1761,2009,swimmer,8/6/09,Athletics,Dara Torres
1762,2009,basketball player,9/14/09,Athletics,LeBron James
1763,2009,actor,9/15/09,Acting,Matt Damon
1764,2009,Comedian,9/16/09,Comedy,Ricky Gervais
1765,2009,president,9/17/09,Politician,President Bill Clinton
1766,2009,Academic,9/22/09,Academic,Vali Nasr
1767,2009,Former Governor of Pennsylvania,9/23/09,Politician,Tom Ridge
1768,2009,Former Governor of Illinois,9/24/09,Politician,Rod Blagojevich
1769,2009,professor,9/28/09,Academic,Bruce Bueno de Mesquita
1770,2009,Former U.S. Congressman,9/29/09,Politician,Ron Paul
1771,2009,writer,9/30/09,Media,Jon Krakauer
1772,2010,lawyer,1/11/10,Misc,John Yoo
1773,2010,Editor,1/12/10,Media,Paul Ingrassia
1774,2010,musician,1/13/10,Musician,Ringo Starr and The Ben Harper Band
1775,2010,rock band,1/13/10,Musician,Ringo Starr and The Ben Harper Band
1776,2010,Journalist,1/14/10,Media,Tom Brokaw
1777,2010,comptroller of the us,1/18/10,Government,David M. Walker
1778,2010,actor,1/19/10,Acting,Colin Firth
1779,2010,writer,1/20/10,Media,Jim Wallis
1780,2010,actress,1/21/10,Acting,Julie Andrews
1781,2010,busines magnate,1/25/10,Business,Bill Gates
1782,2010,us senator,1/26/10,Politician,Elizabeth Warren
1783,2010,journalist,1/27/10,Media,Ethan Watters
1784,2010,biographer,1/28/10,Media,Doris Kearns Goodwin
1785,2010,Author,1/4/10,Media,Michael Pollan
1786,2010,film director,1/5/10,Media,George Lucas
1787,2010,military,1/6/10,Military,Michael Mullen
1788,2010,actress,1/7/10,Acting,Maggie Gyllenhaal
1789,2010,stunt perfomrer,10/11/10,Acting,Johnny Knoxville
1790,2010,former mjority leader,10/12/10,Politician,Eric Cantor
1791,2010,former us secretary of state,10/13/10,Politician,Condoleezza Rice
1792,2010,writer,10/14/10,Media,David Rakoff
1793,2010,economist,10/25/10,Academic,Austan Goolsbee
1794,2010,Former United States Senator,10/26/10,Politician,Ted Kaufman
1795,2010,president,10/27/10,Politician,President Barack Obama
1796,2010,,10/28/10,,none
1797,2010,Author,10/4/10,Media,Sam Harris
1798,2010,actor,10/5/10,Acting,Bruce Willis
1799,2010,Writer,10/6/10,Media,Philip Dray
1800,2010,actress,10/7/10,Acting,Naomi Watts
1801,2010,Stand-up comedian,11/1/10,Comedy,Zach Galifianakis
1802,2010,Professional Wrestler,11/10/10,Athletics,Mick Foley
1803,2010,actress,11/11/10,Acting,Rosario Dawson
1804,2010,Track and field athlete,11/15/10,Athletics,Marion Jones
1805,2010,editor,11/16/10,Media,Bethany McLean and Joe Nocera
1806,2010,journalist,11/16/10,Media,Bethany McLean and Joe Nocera
1807,2010,rapper,11/17/10,Musician,Jay-Z
1808,2010,Lawyer,11/18/10,Misc,Philip K. Howard
1809,2010,Historian,11/2/10,Academic,Michael Beschloss
1810,2010,actor,11/29/10,Acting,Judah Friedlander
1811,2010,television host,11/3/10,Media,Chris Wallace
1812,2010,Author,11/30/10,Media,Susan Casey
1813,2010,humorist,11/4/10,Media,David Sedaris
1814,2010,Former Governor of Texas,11/8/10,Politician,Rick Perry
1815,2010,actor,11/9/10,Acting,Harrison Ford
1816,2010,musician,12/1/10,Musician,Sting
1817,2010,former british prime minister,12/13/10,Politician,Gordon Brown
1818,2010,Comedian,12/14/10,Comedy,Ricky Gervais
1819,2010,actor,12/15/10,Acting,Paul Rudd
1820,2010,Former Governor of Arkansas,12/16/10,Politician,Mike Huckabee
1821,2010,Author,12/2/10,Media,Stacy Schiff
1822,2010,military officer,12/6/10,Military,Hugh Shelton
1823,2010,actor,12/7/10,Acting,Seth Green
