,mon,dom,dow,carrier,flight,org,depart,duration,delay,km,org_idx,org_dummy,features
3969,11,18,4,AA,455,ORD,15.17,260,55.0,2808.0,0.0,"(7,[0],[1.0])",[2808.0]
3970,1,22,5,UA,574,ORD,14.2,76,81.0,378.0,0.0,"(7,[0],[1.0])",[378.0]
3971,0,8,2,AA,1972,ORD,16.58,110,122.0,1041.0,0.0,"(7,[0],[1.0])",[1041.0]
3972,0,9,3,US,856,ORD,20.42,120,-22.0,1091.0,0.0,"(7,[0],[1.0])",[1091.0]
3973,7,28,4,US,504,ORD,17.17,218,-3.0,2317.0,0.0,"(7,[0],[1.0])",[2317.0]
3974,4,18,0,US,468,JFK,7.75,341,-21.0,3618.0,2.0,"(7,[2],[1.0])",[3618.0]
3975,10,12,3,AA,2353,ORD,19.25,155,36.0,1291.0,0.0,"(7,[0],[1.0])",[1291.0]
3976,7,28,4,US,2177,LGA,14.0,77,4.0,344.0,3.0,"(7,[3],[1.0])",[344.0]
3977,3,10,4,OH,5501,JFK,8.42,110,,547.0,2.0,"(7,[2],[1.0])",[547.0]
3978,7,9,6,WN,2668,SMF,8.58,90,-16.0,650.0,4.0,"(7,[4],[1.0])",[650.0]
3979,5,10,2,OO,6226,ORD,15.75,110,37.0,940.0,0.0,"(7,[0],[1.0])",[940.0]
3980,5,14,6,B6,185,JFK,18.67,371,229.0,3936.0,2.0,"(7,[2],[1.0])",[3936.0]
3981,2,10,1,OH,5673,LGA,11.0,151,39.0,1032.0,3.0,"(7,[3],[1.0])",[1032.0]
3982,7,16,6,AA,1329,LGA,18.92,170,-24.0,1529.0,3.0,"(7,[3],[1.0])",[1529.0]
3983,1,12,2,AA,1704,ORD,9.25,120,,1157.0,0.0,"(7,[0],[1.0])",[1157.0]
3984,5,2,1,AA,1331,ORD,9.92,245,8.0,2689.0,0.0,"(7,[0],[1.0])",[2689.0]
3985,8,5,5,AA,1101,ORD,18.75,155,1.0,1489.0,0.0,"(7,[0],[1.0])",[1489.0]
3986,3,9,3,UA,679,LGA,12.0,152,26.0,1180.0,3.0,"(7,[3],[1.0])",[1180.0]
3987,7,4,1,AA,1540,TUS,14.17,140,-16.0,1308.0,7.0,"(7,[],[])",[1308.0]
3988,2,18,2,B6,383,LGA,21.75,170,-19.0,1732.0,3.0,"(7,[3],[1.0])",[1732.0]
3989,0,30,3,OO,5472,SFO,12.03,43,-8.0,124.0,1.0,"(7,[1],[1.0])",[124.0]
3990,2,7,5,OO,6250,ORD,21.33,83,38.0,460.0,0.0,"(7,[0],[1.0])",[460.0]
3991,5,14,6,UA,323,ORD,15.07,150,5.0,1291.0,0.0,"(7,[0],[1.0])",[1291.0]
3992,3,11,5,UA,17,JFK,17.67,402,50.0,4162.0,2.0,"(7,[2],[1.0])",[4162.0]
3993,4,10,6,UA,575,ORD,15.25,257,9.0,2770.0,0.0,"(7,[0],[1.0])",[2770.0]
3994,4,30,5,UA,220,SFO,16.42,305,-15.0,3893.0,1.0,"(7,[1],[1.0])",[3893.0]
3995,6,23,3,OH,5360,JFK,14.42,75,200.0,171.0,2.0,"(7,[2],[1.0])",[171.0]
3996,0,28,1,AQ,67,OGG,19.0,34,-4.0,161.0,6.0,"(7,[6],[1.0])",[161.0]
3997,5,21,6,B6,52,JFK,9.33,81,-19.0,430.0,2.0,"(7,[2],[1.0])",[430.0]
3998,4,6,2,B6,915,JFK,13.75,157,-12.0,1191.0,2.0,"(7,[2],[1.0])",[1191.0]
3999,7,5,2,AA,1797,ORD,11.83,60,110.0,415.0,0.0,"(7,[0],[1.0])",[415.0]
4000,6,14,1,UA,548,SFO,13.0,118,9.0,964.0,1.0,"(7,[1],[1.0])",[964.0]
4001,6,4,5,OO,6396,SFO,11.27,76,53.0,525.0,1.0,"(7,[1],[1.0])",[525.0]
4002,11,11,4,OH,6749,LGA,19.58,150,32.0,1032.0,3.0,"(7,[3],[1.0])",[1032.0]
4003,11,14,0,OO,6259,ORD,8.42,53,-2.0,209.0,0.0,"(7,[0],[1.0])",[209.0]
4004,10,14,5,OH,6606,JFK,8.58,99,51.0,343.0,2.0,"(7,[2],[1.0])",[343.0]
4005,4,8,4,OO,6051,ORD,11.13,65,2.0,285.0,0.0,"(7,[0],[1.0])",[285.0]
4006,10,10,1,WN,560,SJC,20.92,60,-5.0,476.0,5.0,"(7,[5],[1.0])",[476.0]
4007,10,17,1,WN,3499,SJC,17.08,80,-9.0,671.0,5.0,"(7,[5],[1.0])",[671.0]
4008,11,19,5,AA,1040,SFO,16.67,195,28.0,2356.0,1.0,"(7,[1],[1.0])",[2356.0]
4009,0,20,0,UA,1244,SJC,13.28,253,-27.0,2943.0,5.0,"(7,[5],[1.0])",[2943.0]
4010,11,24,3,AA,1174,SJC,12.67,265,77.0,2943.0,5.0,"(7,[5],[1.0])",[2943.0]
4011,5,4,3,OO,6264,ORD,21.17,101,98.0,977.0,0.0,"(7,[0],[1.0])",[977.0]
4012,9,20,1,AA,3,JFK,12.5,365,,3983.0,2.0,"(7,[2],[1.0])",[3983.0]
4013,0,6,0,WN,298,SJC,21.92,70,25.0,536.0,5.0,"(7,[5],[1.0])",[536.0]
4014,3,5,6,UA,562,SFO,13.9,107,22.0,885.0,1.0,"(7,[1],[1.0])",[885.0]
4015,1,25,1,UA,893,JFK,8.53,403,-7.0,4162.0,2.0,"(7,[2],[1.0])",[4162.0]
4016,6,10,4,B6,42,JFK,11.0,75,-7.0,336.0,2.0,"(7,[2],[1.0])",[336.0]
4017,8,4,4,B6,148,JFK,20.83,102,-42.0,430.0,2.0,"(7,[2],[1.0])",[430.0]
4018,9,6,1,US,2140,LGA,19.0,77,-9.0,298.0,3.0,"(7,[3],[1.0])",[298.0]
4019,9,9,4,B6,615,JFK,13.48,149,5.0,1334.0,2.0,"(7,[2],[1.0])",[1334.0]
4020,5,30,1,UA,828,ORD,21.08,135,49.0,1395.0,0.0,"(7,[0],[1.0])",[1395.0]
4021,1,19,2,UA,153,ORD,17.67,175,-18.0,1489.0,0.0,"(7,[0],[1.0])",[1489.0]
4022,2,13,4,AA,1087,ORD,20.17,140,0.0,1347.0,0.0,"(7,[0],[1.0])",[1347.0]
4023,0,22,2,UA,543,ORD,20.5,241,66.0,2411.0,0.0,"(7,[0],[1.0])",[2411.0]
4024,9,1,3,AA,635,ORD,18.33,270,-28.0,2808.0,0.0,"(7,[0],[1.0])",[2808.0]
4025,3,23,3,OO,5951,ORD,7.63,97,69.0,790.0,0.0,"(7,[0],[1.0])",[790.0]
4026,11,26,5,OO,6459,ORD,11.97,51,,257.0,0.0,"(7,[0],[1.0])",[257.0]
4027,4,29,4,AA,345,LGA,17.5,160,16.0,1180.0,3.0,"(7,[3],[1.0])",[1180.0]
4028,1,25,1,UA,1299,ORD,11.4,85,,663.0,0.0,"(7,[0],[1.0])",[663.0]
4029,6,26,6,HA,133,OGG,9.35,34,71.0,161.0,6.0,"(7,[6],[1.0])",[161.0]
4030,7,2,6,B6,119,JFK,14.83,193,529.0,1902.0,2.0,"(7,[2],[1.0])",[1902.0]
4031,2,4,2,US,343,ORD,7.42,235,3.0,2317.0,0.0,"(7,[0],[1.0])",[2317.0]
4032,10,16,0,AA,1228,TUS,13.25,210,-6.0,2313.0,7.0,"(7,[],[])",[2313.0]
4033,11,19,5,WN,1545,SJC,11.75,130,28.0,1122.0,5.0,"(7,[5],[1.0])",[1122.0]
4034,1,18,1,AA,347,LGA,18.25,137,115.0,1180.0,3.0,"(7,[3],[1.0])",[1180.0]
4035,4,1,4,UA,817,SFO,10.13,87,-11.0,542.0,1.0,"(7,[1],[1.0])",[542.0]
4036,1,4,1,B6,701,JFK,7.0,239,-14.0,2570.0,2.0,"(7,[2],[1.0])",[2570.0]
4037,3,28,1,HA,155,OGG,8.67,34,-6.0,161.0,6.0,"(7,[6],[1.0])",[161.0]
4038,9,24,5,HA,40,OGG,15.08,315,4.0,4123.0,6.0,"(7,[6],[1.0])",[4123.0]
