,mon,dom,dow,carrier,flight,org,depart,duration,delay,km,org_idx,org_dummy,features
3650,11,2,2,UA,148,ORD,15.65,130,73.0,1091.0,0.0,"(7,[0],[1.0])",[1091.0]
3651,11,2,2,UA,344,SFO,10.83,110,-7.0,885.0,1.0,"(7,[1],[1.0])",[885.0]
3652,11,2,2,UA,955,SFO,15.95,93,-14.0,719.0,1.0,"(7,[1],[1.0])",[719.0]
3653,11,2,2,UA,1186,ORD,8.0,75,17.0,476.0,0.0,"(7,[0],[1.0])",[476.0]
3654,11,2,2,UA,1448,ORD,17.1,159,-14.0,1629.0,0.0,"(7,[0],[1.0])",[1629.0]
3655,11,2,2,UA,1526,ORD,8.32,187,-2.0,1926.0,0.0,"(7,[0],[1.0])",[1926.0]
3656,11,2,2,WN,1588,SJC,17.5,60,9.0,476.0,5.0,"(7,[5],[1.0])",[476.0]
3657,11,3,3,AA,1358,ORD,21.58,125,24.0,1395.0,0.0,"(7,[0],[1.0])",[1395.0]
3658,11,3,3,OH,6798,ORD,14.5,159,26.0,1191.0,0.0,"(7,[0],[1.0])",[1191.0]
3659,11,3,3,OO,5561,SFO,11.6,79,90.0,422.0,1.0,"(7,[1],[1.0])",[422.0]
3660,11,3,3,UA,332,ORD,21.75,74,,378.0,0.0,"(7,[0],[1.0])",[378.0]
3661,11,3,3,UA,690,ORD,17.0,141,-12.0,1180.0,0.0,"(7,[0],[1.0])",[1180.0]
3662,11,3,3,UA,695,LGA,20.02,159,3.0,1180.0,3.0,"(7,[3],[1.0])",[1180.0]
3663,11,3,3,US,2130,LGA,14.0,65,-13.0,298.0,3.0,"(7,[3],[1.0])",[298.0]
3664,11,3,3,WN,1489,SMF,14.5,75,-9.0,626.0,4.0,"(7,[4],[1.0])",[626.0]
3665,11,3,3,WN,2475,SJC,16.83,75,1.0,496.0,5.0,"(7,[5],[1.0])",[496.0]
3666,11,4,4,AA,1599,ORD,14.5,245,-11.0,2438.0,0.0,"(7,[0],[1.0])",[2438.0]
3667,11,4,4,OH,6719,JFK,12.58,89,16.0,484.0,2.0,"(7,[2],[1.0])",[484.0]
3668,11,4,4,OO,6567,ORD,20.4,156,58.0,1466.0,0.0,"(7,[0],[1.0])",[1466.0]
3669,11,4,4,UA,149,ORD,14.97,282,-29.0,2971.0,0.0,"(7,[0],[1.0])",[2971.0]
3670,11,4,4,UA,1244,ORD,21.6,101,151.0,948.0,0.0,"(7,[0],[1.0])",[948.0]
3671,11,4,4,US,1177,LGA,10.0,132,-8.0,875.0,3.0,"(7,[3],[1.0])",[875.0]
3672,11,5,5,B6,1012,JFK,16.58,90,-28.0,301.0,2.0,"(7,[2],[1.0])",[301.0]
3673,11,5,5,HA,575,OGG,14.42,34,-9.0,161.0,6.0,"(7,[6],[1.0])",[161.0]
3674,11,5,5,UA,1526,ORD,8.32,187,14.0,1926.0,0.0,"(7,[0],[1.0])",[1926.0]
3675,11,5,5,US,2118,LGA,8.0,57,-4.0,298.0,3.0,"(7,[3],[1.0])",[298.0]
3676,11,5,5,WN,207,SMF,11.67,80,17.0,600.0,4.0,"(7,[4],[1.0])",[600.0]
3677,11,6,6,OH,6417,JFK,16.67,131,-21.0,686.0,2.0,"(7,[2],[1.0])",[686.0]
3678,11,6,6,OO,5524,SFO,8.75,82,40.0,509.0,1.0,"(7,[1],[1.0])",[509.0]
3679,11,6,6,OO,5737,SFO,11.0,59,21.0,246.0,1.0,"(7,[1],[1.0])",[246.0]
3680,11,6,6,UA,269,ORD,20.4,95,-8.0,649.0,0.0,"(7,[0],[1.0])",[649.0]
3681,11,6,6,UA,398,ORD,10.58,124,-4.0,1260.0,0.0,"(7,[0],[1.0])",[1260.0]
3682,11,6,6,UA,945,ORD,12.05,272,-3.0,2808.0,0.0,"(7,[0],[1.0])",[2808.0]
3683,11,6,6,WN,3041,SMF,9.17,75,2.0,626.0,4.0,"(7,[4],[1.0])",[626.0]
3684,11,7,0,AA,360,ORD,15.25,135,42.0,1180.0,0.0,"(7,[0],[1.0])",[1180.0]
3685,11,7,0,AA,2099,ORD,7.08,270,-2.0,2808.0,0.0,"(7,[0],[1.0])",[2808.0]
3686,11,7,0,OH,6801,JFK,13.08,183,20.0,1654.0,2.0,"(7,[2],[1.0])",[1654.0]
3687,11,7,0,OO,5903,ORD,20.0,112,33.0,946.0,0.0,"(7,[0],[1.0])",[946.0]
