id,budget,revenue
8452,82000000,96085477.0
310,80000000,484572835.0
27578,80000000,274470394.0
954,80000000,457696359.0
70160,75000000,691210692.0
45243,80000000,254455986.0
364,80000000,280000000.0
7518,80000000,343397247.0
11544,80000000,145771527.0
9986,85000000,144000000.0
8656,75000000,140464664.0
9291,82000000,190320568.0
55301,75000000,342695435.0
109418,80000000,246984278.0
11665,80000000,230685453.0
6964,80000000,266728738.0
11324,80000000,294804195.0
12193,80000000,163733697.0
9928,75000000,260696994.0
754,80000000,245676146.0
10202,80000000,212874442.0
4147,80000000,181001478.0
50546,80000000,214918407.0
1701,75000000,224012234.0
13027,80000000,178066569.0
2289,79000000,173013509.0
20504,80000000,157107755.0
9574,80000000,177977226.0
11618,80000000,91188905.0
2300,80000000,250200000.0
10200,80000000,233093859.0
8834,75000000,136982834.0
228150,68000000,211817906.0
6068,70000000,164000000.0
41515,80000000,201584141.0
9023,80000000,122563539.0
38317,80000000,169852759.0
2157,80000000,136159423.0
14462,80000000,96105964.0
159824,80000000,473226958.0
49948,80000000,90874570.0
2135,80000000,123729176.0
9705,102000000,147080413.0
1656,75000000,142400065.0
12159,85000000,71485043.0
4442,88000000,105316267.0
75,70000000,101371017.0
19959,80000000,122444772.0
11973,80000000,34566746.0
11228,80000000,159212469.0
77951,80000000,126546518.0
5491,44000000,21400000.0
10715,80000000,68514844.0
10197,80000000,53825515.0
9562,80000000,19480739.0
9922,80000000,17626234.0
9447,90000000,69131860.0
274854,90000000,146936910.0
8870,80000000,33463969.0
