date,lag_1_day,lag_2_day,lag_3_day,lag_4_day,lag_5_day,lag_6_day,lag_7_day,lag_8_day,lag_9_day,lag_10_day
2011-12-15,-0.02464658864456618,-0.004721223019959674,0.0011851522547232823,0.0038667370820171694,-0.00483873760615207,-0.009685494115766271,-0.005557594295361693,-4.368758984670307e-05,-0.00717656431315056,-0.01100368898630376
2011-12-16,-0.02667342802456947,-0.02464658864456618,-0.004721223019959674,0.0011851522547232823,0.0038667370820171694,-0.00483873760615207,-0.009685494115766271,-0.005557594295361693,-4.368758984670307e-05,-0.00717656431315056
2011-12-19,-0.020274583190859993,-0.02667342802456947,-0.02464658864456618,-0.004721223019959674,0.0011851522547232823,0.0038667370820171694,-0.00483873760615207,-0.009685494115766271,-0.005557594295361693,-4.368758984670307e-05
2011-12-20,-0.01644623444726713,-0.020274583190859993,-0.02667342802456947,-0.02464658864456618,-0.004721223019959674,0.0011851522547232823,0.0038667370820171694,-0.00483873760615207,-0.009685494115766271,-0.005557594295361693
2011-12-21,0.020497773597469064,-0.01644623444726713,-0.020274583190859993,-0.02667342802456947,-0.02464658864456618,-0.004721223019959674,0.0011851522547232823,0.0038667370820171694,-0.00483873760615207,-0.009685494115766271
2011-12-22,0.021909384009550687,0.020497773597469064,-0.01644623444726713,-0.020274583190859993,-0.02667342802456947,-0.02464658864456618,-0.004721223019959674,0.0011851522547232823,0.0038667370820171694,-0.00483873760615207
2011-12-23,0.02760429630917646,0.021909384009550687,0.020497773597469064,-0.01644623444726713,-0.020274583190859993,-0.02667342802456947,-0.02464658864456618,-0.004721223019959674,0.0011851522547232823,0.0038667370820171694
2011-12-27,0.04035115783356439,0.02760429630917646,0.021909384009550687,0.020497773597469064,-0.01644623444726713,-0.020274583190859993,-0.02667342802456947,-0.02464658864456618,-0.004721223019959674,0.0011851522547232823
2011-12-28,0.04871759671534282,0.04035115783356439,0.02760429630917646,0.021909384009550687,0.020497773597469064,-0.01644623444726713,-0.020274583190859993,-0.02667342802456947,-0.02464658864456618,-0.004721223019959674
2011-12-29,0.03856243037559379,0.04871759671534282,0.04035115783356439,0.02760429630917646,0.021909384009550687,0.020497773597469064,-0.01644623444726713,-0.020274583190859993,-0.02667342802456947,-0.02464658864456618
2011-12-30,0.04453582692870194,0.03856243037559379,0.04871759671534282,0.04035115783356439,0.02760429630917646,0.021909384009550687,0.020497773597469064,-0.01644623444726713,-0.020274583190859993,-0.02667342802456947
2012-01-03,0.04369442940624181,0.04453582692870194,0.03856243037559379,0.04871759671534282,0.04035115783356439,0.02760429630917646,0.021909384009550687,0.020497773597469064,-0.01644623444726713,-0.020274583190859993
2012-01-04,0.05961414152856449,0.04369442940624181,0.04453582692870194,0.03856243037559379,0.04871759671534282,0.04035115783356439,0.02760429630917646,0.021909384009550687,0.020497773597469064,-0.01644623444726713
2012-01-05,0.06453570394500696,0.05961414152856449,0.04369442940624181,0.04453582692870194,0.03856243037559379,0.04871759671534282,0.04035115783356439,0.02760429630917646,0.021909384009550687,0.020497773597469064
2012-01-06,0.0753807309939386,0.06453570394500696,0.05961414152856449,0.04369442940624181,0.04453582692870194,0.03856243037559379,0.04871759671534282,0.04035115783356439,0.02760429630917646,0.021909384009550687
2012-01-09,0.08577744924881174,0.0753807309939386,0.06453570394500696,0.05961414152856449,0.04369442940624181,0.04453582692870194,0.03856243037559379,0.04871759671534282,0.04035115783356439,0.02760429630917646
2012-01-10,0.0821209383277221,0.08577744924881174,0.0753807309939386,0.06453570394500696,0.05961414152856449,0.04369442940624181,0.04453582692870194,0.03856243037559379,0.04871759671534282,0.04035115783356439
2012-01-11,0.08339304323246866,0.0821209383277221,0.08577744924881174,0.0753807309939386,0.06453570394500696,0.05961414152856449,0.04369442940624181,0.04453582692870194,0.03856243037559379,0.04871759671534282
2012-01-12,0.07889200683247581,0.08339304323246866,0.0821209383277221,0.08577744924881174,0.0753807309939386,0.06453570394500696,0.05961414152856449,0.04369442940624181,0.04453582692870194,0.03856243037559379
2012-01-13,0.07288946310898267,0.07889200683247581,0.08339304323246866,0.0821209383277221,0.08577744924881174,0.0753807309939386,0.06453570394500696,0.05961414152856449,0.04369442940624181,0.04453582692870194
2012-01-17,0.06659950106860733,0.07288946310898267,0.07889200683247581,0.08339304323246866,0.0821209383277221,0.08577744924881174,0.0753807309939386,0.06453570394500696,0.05961414152856449,0.04369442940624181
2012-01-18,0.07656589369552645,0.06659950106860733,0.07288946310898267,0.07889200683247581,0.08339304323246866,0.0821209383277221,0.08577744924881174,0.0753807309939386,0.06453570394500696,0.05961414152856449
2012-01-19,0.08441158856164704,0.07656589369552645,0.06659950106860733,0.07288946310898267,0.07889200683247581,0.08339304323246866,0.0821209383277221,0.08577744924881174,0.0753807309939386,0.06453570394500696
2012-01-20,0.07719363869890003,0.08441158856164704,0.07656589369552645,0.06659950106860733,0.07288946310898267,0.07889200683247581,0.08339304323246866,0.0821209383277221,0.08577744924881174,0.0753807309939386
2012-01-23,0.054433095864647965,0.07719363869890003,0.08441158856164704,0.07656589369552645,0.06659950106860733,0.07288946310898267,0.07889200683247581,0.08339304323246866,0.0821209383277221,0.08577744924881174
2012-01-24,0.0692583891198897,0.054433095864647965,0.07719363869890003,0.08441158856164704,0.07656589369552645,0.06659950106860733,0.07288946310898267,0.07889200683247581,0.08339304323246866,0.0821209383277221
2012-01-25,0.04768582521408845,0.0692583891198897,0.054433095864647965,0.07719363869890003,0.08441158856164704,0.07656589369552645,0.06659950106860733,0.07288946310898267,0.07889200683247581,0.08339304323246866
2012-01-26,0.1090741587973667,0.04768582521408845,0.0692583891198897,0.054433095864647965,0.07719363869890003,0.08441158856164704,0.07656589369552645,0.06659950106860733,0.07288946310898267,0.07889200683247581
2012-01-27,0.09909740073950357,0.1090741587973667,0.04768582521408845,0.0692583891198897,0.054433095864647965,0.07719363869890003,0.08441158856164704,0.07656589369552645,0.06659950106860733,0.07288946310898267
2012-01-30,0.10066488115297355,0.09909740073950357,0.1090741587973667,0.04768582521408845,0.0692583891198897,0.054433095864647965,0.07719363869890003,0.08441158856164704,0.07656589369552645,0.06659950106860733
2012-01-31,0.11020628132620192,0.10066488115297355,0.09909740073950357,0.1090741587973667,0.04768582521408845,0.0692583891198897,0.054433095864647965,0.07719363869890003,0.08441158856164704,0.07656589369552645
2012-02-01,0.11415386374348477,0.11020628132620192,0.10066488115297355,0.09909740073950357,0.1090741587973667,0.04768582521408845,0.0692583891198897,0.054433095864647965,0.07719363869890003,0.08441158856164704
2012-02-02,0.10881198851982801,0.11415386374348477,0.11020628132620192,0.10066488115297355,0.09909740073950357,0.1090741587973667,0.04768582521408845,0.0692583891198897,0.054433095864647965,0.07719363869890003
2012-02-03,0.10187260551011787,0.10881198851982801,0.11415386374348477,0.11020628132620192,0.10066488115297355,0.09909740073950357,0.1090741587973667,0.04768582521408845,0.0692583891198897,0.054433095864647965
2012-02-06,0.10849684930707564,0.10187260551011787,0.10881198851982801,0.11415386374348477,0.11020628132620192,0.10066488115297355,0.09909740073950357,0.1090741587973667,0.04768582521408845,0.0692583891198897
2012-02-07,0.11397970970884419,0.10849684930707564,0.10187260551011787,0.10881198851982801,0.11415386374348477,0.11020628132620192,0.10066488115297355,0.09909740073950357,0.1090741587973667,0.04768582521408845
2012-02-08,0.12059104928798944,0.11397970970884419,0.10849684930707564,0.10187260551011787,0.10881198851982801,0.11415386374348477,0.11020628132620192,0.10066488115297355,0.09909740073950357,0.1090741587973667
2012-02-09,0.13412640612130766,0.12059104928798944,0.11397970970884419,0.10849684930707564,0.10187260551011787,0.10881198851982801,0.11415386374348477,0.11020628132620192,0.10066488115297355,0.09909740073950357
2012-02-10,0.16731800274008893,0.13412640612130766,0.12059104928798944,0.11397970970884419,0.10849684930707564,0.10187260551011787,0.10881198851982801,0.11415386374348477,0.11020628132620192,0.10066488115297355
2012-02-13,0.16055901630347297,0.16731800274008893,0.13412640612130766,0.12059104928798944,0.11397970970884419,0.10849684930707564,0.10187260551011787,0.10881198851982801,0.11415386374348477,0.11020628132620192
2012-02-14,0.17413311040912005,0.16055901630347297,0.16731800274008893,0.13412640612130766,0.12059104928798944,0.11397970970884419,0.10849684930707564,0.10187260551011787,0.10881198851982801,0.11415386374348477
2012-02-15,0.1814077776373374,0.17413311040912005,0.16055901630347297,0.16731800274008893,0.13412640612130766,0.12059104928798944,0.11397970970884419,0.10849684930707564,0.10187260551011787,0.10881198851982801
2012-02-16,0.14532055701750538,0.1814077776373374,0.17413311040912005,0.16055901630347297,0.16731800274008893,0.13412640612130766,0.12059104928798944,0.11397970970884419,0.10849684930707564,0.10187260551011787
2012-02-17,0.14794759175845212,0.14532055701750538,0.1814077776373374,0.17413311040912005,0.16055901630347297,0.16731800274008893,0.13412640612130766,0.12059104928798944,0.11397970970884419,0.10849684930707564
2012-02-21,0.14063811081934036,0.14794759175845212,0.14532055701750538,0.1814077776373374,0.17413311040912005,0.16055901630347297,0.16731800274008893,0.13412640612130766,0.12059104928798944,0.11397970970884419
2012-02-22,0.16240159711351038,0.14063811081934036,0.14794759175845212,0.14532055701750538,0.1814077776373374,0.17413311040912005,0.16055901630347297,0.16731800274008893,0.13412640612130766,0.12059104928798944
2012-02-23,0.15056855262860386,0.16240159711351038,0.14063811081934036,0.14794759175845212,0.14532055701750538,0.1814077776373374,0.17413311040912005,0.16055901630347297,0.16731800274008893,0.13412640612130766
2012-02-24,0.15082115550938477,0.15056855262860386,0.16240159711351038,0.14063811081934036,0.14794759175845212,0.14532055701750538,0.1814077776373374,0.17413311040912005,0.16055901630347297,0.16731800274008893
2012-02-27,0.15697406250209267,0.15082115550938477,0.15056855262860386,0.16240159711351038,0.14063811081934036,0.14794759175845212,0.14532055701750538,0.1814077776373374,0.17413311040912005,0.16055901630347297
2012-02-28,0.15652738557943774,0.15697406250209267,0.15082115550938477,0.15056855262860386,0.16240159711351038,0.14063811081934036,0.14794759175845212,0.14532055701750538,0.1814077776373374,0.17413311040912005
2012-02-29,0.16979486828848914,0.15652738557943774,0.15697406250209267,0.15082115550938477,0.15056855262860386,0.16240159711351038,0.14063811081934036,0.14794759175845212,0.14532055701750538,0.1814077776373374
2012-03-01,0.17655871349229546,0.16979486828848914,0.15652738557943774,0.15697406250209267,0.15082115550938477,0.15056855262860386,0.16240159711351038,0.14063811081934036,0.14794759175845212,0.14532055701750538
2012-03-02,0.1724062637714211,0.17655871349229546,0.16979486828848914,0.15652738557943774,0.15697406250209267,0.15082115550938477,0.15056855262860386,0.16240159711351038,0.14063811081934036,0.14794759175845212
2012-03-05,0.16550330350547582,0.1724062637714211,0.17655871349229546,0.16979486828848914,0.15652738557943774,0.15697406250209267,0.15082115550938477,0.15056855262860386,0.16240159711351038,0.14063811081934036
2012-03-06,0.1319172735098072,0.16550330350547582,0.1724062637714211,0.17655871349229546,0.16979486828848914,0.15652738557943774,0.15697406250209267,0.15082115550938477,0.15056855262860386,0.16240159711351038
2012-03-07,0.11901338596562053,0.1319172735098072,0.16550330350547582,0.1724062637714211,0.17655871349229546,0.16979486828848914,0.15652738557943774,0.15697406250209267,0.15082115550938477,0.15056855262860386
2012-03-08,0.11338240137889492,0.11901338596562053,0.1319172735098072,0.16550330350547582,0.1724062637714211,0.17655871349229546,0.16979486828848914,0.15652738557943774,0.15697406250209267,0.15082115550938477
2012-03-09,0.13055474694037897,0.11338240137889492,0.11901338596562053,0.1319172735098072,0.16550330350547582,0.1724062637714211,0.17655871349229546,0.16979486828848914,0.15652738557943774,0.15697406250209267
2012-03-12,0.12996952258939815,0.13055474694037897,0.11338240137889492,0.11901338596562053,0.1319172735098072,0.16550330350547582,0.1724062637714211,0.17655871349229546,0.16979486828848914,0.15652738557943774
2012-03-13,0.13664858057853652,0.12996952258939815,0.13055474694037897,0.11338240137889492,0.11901338596562053,0.1319172735098072,0.16550330350547582,0.1724062637714211,0.17655871349229546,0.16979486828848914
2012-03-14,0.16169290085754087,0.13664858057853652,0.12996952258939815,0.13055474694037897,0.11338240137889492,0.11901338596562053,0.1319172735098072,0.16550330350547582,0.1724062637714211,0.17655871349229546
2012-03-15,0.19661961989686294,0.16169290085754087,0.13664858057853652,0.12996952258939815,0.13055474694037897,0.11338240137889492,0.11901338596562053,0.1319172735098072,0.16550330350547582,0.1724062637714211
2012-03-16,0.17861781967929935,0.19661961989686294,0.16169290085754087,0.13664858057853652,0.12996952258939815,0.13055474694037897,0.11338240137889492,0.11901338596562053,0.1319172735098072,0.16550330350547582
2012-03-19,0.16911590006526003,0.17861781967929935,0.19661961989686294,0.16169290085754087,0.13664858057853652,0.12996952258939815,0.13055474694037897,0.11338240137889492,0.11901338596562053,0.1319172735098072
2012-03-20,0.19005353511987705,0.16911590006526003,0.17861781967929935,0.19661961989686294,0.16169290085754087,0.13664858057853652,0.12996952258939815,0.13055474694037897,0.11338240137889492,0.11901338596562053
2012-03-21,0.1891899760073115,0.19005353511987705,0.16911590006526003,0.17861781967929935,0.19661961989686294,0.16169290085754087,0.13664858057853652,0.12996952258939815,0.13055474694037897,0.11338240137889492
2012-03-22,0.1714619193181477,0.1891899760073115,0.19005353511987705,0.16911590006526003,0.17861781967929935,0.19661961989686294,0.16169290085754087,0.13664858057853652,0.12996952258939815,0.13055474694037897
2012-03-23,0.1563339078683174,0.1714619193181477,0.1891899760073115,0.19005353511987705,0.16911590006526003,0.17861781967929935,0.19661961989686294,0.16169290085754087,0.13664858057853652,0.12996952258939815
2012-03-26,0.1412517006080275,0.1563339078683174,0.1714619193181477,0.1891899760073115,0.19005353511987705,0.16911590006526003,0.17861781967929935,0.19661961989686294,0.16169290085754087,0.13664858057853652
